millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
732617,2026-07-06T11:39:49Z,6.11,1187.66,-0.02,96.4,42.2,1,46.955490,8.277454,444.80,0.13,12,5,0.78,,,-4.3,-117.0,1.00
737625,2026-07-06T11:39:54Z,5.93,1187.50,-0.02,96.4,42.1,1,46.955489,8.277454,445.10,0.41,12,8,0.78,,,-3.0,-116.9,1.00
742654,2026-07-06T11:39:59Z,6.31,1187.86,-0.02,96.5,42.1,1,46.955490,8.277447,444.60,0.46,12,6,0.86,,,-2.8,-118.8,0.99
747692,2026-07-06T11:40:04Z,6.34,1187.96,0.04,96.4,42.1,1,46.955491,8.277443,444.30,0.06,12,4,0.86,,,-4.5,-115.2,1.01
752714,2026-07-06T11:40:09Z,6.33,1187.95,0.01,96.4,42.1,1,46.955489,8.277449,444.60,0.17,12,5,0.78,,,-4.1,-113.1,1.00
757746,2026-07-06T11:40:14Z,6.42,1187.98,-0.01,96.5,42.0,1,46.955488,8.277456,444.70,0.20,12,7,0.76,,,-4.8,-113.1,1.00
762780,2026-07-06T11:40:19Z,6.38,1187.98,-0.01,96.5,42.0,1,46.955487,8.277462,444.60,0.19,12,5,0.78,,,-4.1,-113.0,0.99
767788,2026-07-06T11:40:24Z,6.43,1188.04,0.04,96.6,42.0,1,46.955486,8.277469,444.70,0.15,12,5,0.77,,,-3.9,-113.3,1.00
772797,2026-07-06T11:40:29Z,6.64,1188.30,0.06,96.6,41.9,1,46.955485,8.277467,444.60,1.93,12,5,0.76,,,-3.1,-107.4,1.08
777799,2026-07-06T11:40:34Z,6.70,1188.23,-0.02,96.6,42.0,1,46.955484,8.277463,443.50,0.52,12,7,0.77,,,-3.5,-114.0,0.99
782805,2026-07-06T11:40:39Z,6.38,1188.06,-0.01,96.6,42.0,1,46.955484,8.277457,441.70,0.63,12,5,0.88,,,-3.0,-112.0,0.99
787831,2026-07-06T11:40:44Z,6.70,1188.25,-0.01,96.7,41.9,1,46.955483,8.277454,441.10,0.70,12,6,0.88,,,-4.2,-115.6,1.00
792837,2026-07-06T11:40:49Z,6.42,1187.98,-0.00,96.7,41.9,1,46.955482,8.277452,440.80,0.59,12,5,0.84,,,-3.8,-115.5,0.98
797874,2026-07-06T11:40:54Z,6.53,1188.15,0.01,96.7,41.8,1,46.955481,8.277458,441.50,0.04,12,5,0.76,,,-4.2,-114.9,1.00
802907,2026-07-06T11:40:59Z,6.26,1187.78,-0.06,96.7,41.8,1,46.955480,8.277465,442.10,0.26,12,5,0.77,,,-2.7,-118.1,1.04
807923,2026-07-06T11:41:04Z,5.91,1187.57,0.01,96.8,41.8,1,46.955482,8.277463,441.60,0.13,12,5,0.84,,,-4.6,-114.5,0.97
812924,2026-07-06T11:41:09Z,5.74,1187.32,-0.00,96.8,41.7,1,46.955483,8.277456,441.10,0.00,12,4,0.80,,,-4.7,-115.1,1.00
817946,2026-07-06T11:41:15Z,264.93,1187.52,0.03,96.8,41.7,1,46.955484,8.277448,440.90,0.59,12,6,1.07,,,-2.7,-113.6,1.00
822946,2026-07-06T11:41:20Z,266.24,1187.61,-0.06,96.9,41.6,1,46.955484,8.277447,441.30,0.52,12,5,1.07,,,-3.5,-109.8,0.97
827946,2026-07-06T11:41:25Z,266.24,1188.75,0.85,96.9,41.2,1,46.955482,8.277438,441.30,1.46,12,3,0.86,,,0.5,-76.3,0.98
832967,2026-07-06T11:41:30Z,264.93,1185.61,-0.48,96.9,41.0,1,46.955487,8.277425,440.90,0.44,12,4,1.04,,,-8.2,-125.3,0.99
837967,2026-07-06T11:41:35Z,261.32,1189.53,0.92,97.0,41.4,1,46.955489,8.277409,439.80,0.65,12,4,0.77,,,-2.4,-117.6,1.00
842971,2026-07-06T11:41:40Z,259.68,1188.78,0.06,97.0,41.6,1,46.955489,8.277402,439.30,0.44,12,5,0.74,,,10.3,-110.4,1.31
848004,2026-07-06T11:41:45Z,256.40,1194.57,1.66,97.0,41.3,1,46.955491,8.277399,438.30,0.28,12,5,0.74,,,-1.8,-58.8,0.88
853041,2026-07-06T11:41:50Z,254.76,1193.05,0.40,97.0,41.2,1,46.955492,8.277396,437.80,0.69,12,4,0.78,,,-3.7,-53.7,0.99
858067,2026-07-06T11:41:55Z,254.76,1188.35,0.56,97.1,41.2,1,46.955494,8.277394,437.80,0.35,12,5,1.04,,,-2.7,-43.2,1.06
863103,2026-07-06T11:42:00Z,253.45,1187.73,-0.47,97.1,40.7,1,46.955493,8.277387,437.40,0.39,12,8,0.86,,,15.7,-77.0,1.00
868136,2026-07-06T11:42:05Z,256.07,1190.60,0.25,97.1,40.5,1,46.955494,8.277386,438.20,0.39,12,5,0.75,,,14.5,-72.0,1.01
873179,2026-07-06T11:42:10Z,257.06,1189.03,0.56,97.1,40.5,1,46.955495,8.277384,438.50,0.22,12,7,0.75,,,17.9,-78.3,0.99
878179,2026-07-06T11:42:15Z,258.70,1186.95,-0.04,97.1,40.5,1,46.955495,8.277378,439.00,0.26,12,7,0.78,,,20.0,-84.9,1.00
883196,2026-07-06T11:42:20Z,261.98,1186.98,-0.19,97.1,40.6,1,46.955496,8.277372,440.00,0.17,12,5,0.90,,,28.6,-85.9,1.08
888226,2026-07-06T11:42:25Z,264.60,1187.46,0.79,97.1,40.5,1,46.955499,8.277367,440.80,0.11,12,7,0.90,,,24.2,-80.1,0.98
893255,2026-07-06T11:42:30Z,268.21,1187.11,-0.38,97.2,40.4,1,46.955501,8.277366,441.90,0.61,12,5,0.94,,,33.7,-85.0,0.99
