millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
20050,,165.39,1174.41,-0.07,79.3,55.9,0,,,,,0,1,99.99,4.05,85,-2.4,3.8,1.15
25050,,165.72,1174.93,0.05,79.4,55.3,0,,,,,0,2,99.99,4.06,86,-9.9,7.5,1.00
30050,,166.02,1175.44,0.08,79.4,55.3,0,,,,,0,2,99.99,4.07,87,-11.6,4.2,1.02
35050,,165.59,1174.96,0.11,79.6,53.2,0,,,,,0,1,99.99,4.05,85,-13.3,2.6,0.92
40050,,166.53,1175.55,0.08,80.0,52.6,0,,,,,0,1,99.99,4.04,84,-19.8,-10.3,1.00
45050,,166.13,1175.40,-0.12,80.8,51.1,0,,,,,0,1,99.99,4.04,84,-14.6,59.3,1.04
50050,,166.01,1175.11,-0.11,80.6,51.1,0,,,,,0,1,99.99,4.03,83,-27.0,35.8,1.92
55050,,165.87,1174.86,-0.11,81.0,51.2,0,,,,,0,2,99.99,4.04,84,20.5,0.3,0.94
60050,,166.07,1175.06,0.02,81.5,51.7,0,,,,,0,2,99.99,4.04,84,13.9,3.9,1.11
65050,,166.16,1175.21,-0.03,81.5,51.0,0,,,,,0,1,99.99,4.04,84,23.9,20.9,1.01
70050,,166.23,1175.47,0.03,81.7,49.9,0,,,,,0,1,99.99,4.04,84,26.0,29.3,1.00
75050,2026-07-06T10:34:03Z,166.15,1175.32,0.05,82.2,49.5,0,,,,,0,2,99.99,4.06,86,25.6,18.7,0.97
80050,2026-07-06T10:34:08Z,166.13,1175.55,0.18,82.2,48.0,0,,,,,0,2,99.99,4.04,84,21.9,15.5,1.04
85050,2026-07-06T10:34:13Z,165.94,1175.11,0.03,82.8,47.9,0,,,,,0,2,99.99,4.04,84,-5.7,-1.1,0.78
90050,2026-07-06T10:34:18Z,166.02,1175.11,-0.07,83.1,47.6,0,,,,,0,4,99.99,4.04,84,-6.4,4.6,1.03
95050,2026-07-06T10:34:23Z,166.34,1175.47,-0.01,83.5,46.8,0,,,,,0,4,99.99,4.04,84,-5.7,2.7,1.01
100050,2026-07-06T10:34:28Z,166.42,1175.50,0.00,83.7,46.5,0,,,,,0,2,99.99,4.03,83,-13.7,10.1,1.00
105050,2026-07-06T10:34:33Z,166.18,1175.32,-0.02,83.7,46.1,0,,,,,0,2,99.99,4.06,86,-13.7,8.2,1.04
110050,2026-07-06T10:34:38Z,166.55,1175.68,-0.00,83.4,46.1,0,,,,,0,2,99.99,4.04,84,-9.2,14.5,1.01
115050,2026-07-06T10:34:43Z,166.61,1175.88,0.09,83.8,46.7,0,,,,,0,3,99.99,4.05,85,-2.7,3.4,0.90
120050,2026-07-06T10:34:48Z,165.74,1174.95,-0.10,84.2,46.2,0,,,,,0,3,99.99,4.04,84,-0.5,-4.7,1.03
125050,2026-07-06T10:34:53Z,166.33,1175.47,-0.03,84.5,46.3,0,,,,,0,3,99.99,4.05,85,5.6,-4.6,0.98
130050,2026-07-06T10:34:58Z,166.26,1174.76,-0.32,84.7,46.3,0,,,,,0,2,99.99,4.06,86,-8.0,9.9,1.09
135050,2026-07-06T10:35:03Z,166.44,1175.45,-0.08,85.0,45.4,0,,,,,0,2,99.99,4.07,87,5.9,14.5,0.99
140050,2026-07-06T10:35:08Z,166.56,1175.81,0.08,85.4,45.2,0,,,,,0,2,99.99,4.05,85,2.5,15.5,1.01
145050,2026-07-06T10:35:13Z,166.54,1175.44,-0.02,84.8,45.7,0,,,,,0,2,99.99,4.06,86,4.8,91.3,0.70
150050,2026-07-06T10:35:18Z,166.13,1175.64,0.31,84.4,47.1,0,,,,,0,2,99.99,4.05,85,47.5,-31.0,0.98
