millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,heading_deg,g_force
5005,2026-07-02T06:32:52Z,92.55,-38.74,0.00,72.2,48.4,1,26.806808,-80.273781,7.30,0.24,8,8,1.29,4.10,99,,,,
10308,2026-07-02T06:32:57Z,92.64,-38.71,-0.01,72.2,48.7,1,26.806806,-80.273783,7.90,0.31,8,9,1.29,0.00,0,,,,
15308,2026-07-02T06:33:02Z,92.69,-38.64,0.00,72.2,48.3,1,26.806806,-80.273782,8.70,0.43,8,1,1.29,4.13,98,,,,
20308,2026-07-02T06:33:07Z,92.67,-38.64,-0.00,72.2,48.6,1,26.806809,-80.273785,8.70,0.39,8,10,1.37,0.00,98,,,,
25308,2026-07-02T06:33:12Z,92.74,-38.58,0.00,72.2,49.2,1,26.806813,-80.273778,7.30,0.24,8,9,1.29,4.14,98,,,,
30320,2026-07-02T06:33:17Z,92.78,-38.51,0.01,72.3,48.4,1,26.806818,-80.273777,7.00,0.26,9,8,1.22,4.13,98,,,,
35351,2026-07-02T06:33:22Z,92.85,-38.50,-0.00,72.3,49.6,1,26.806821,-80.273775,7.30,0.70,9,8,1.22,0.00,0,,,,
40351,2026-07-02T06:33:27Z,92.87,-38.45,0.01,72.3,48.9,1,26.806823,-80.273779,7.60,0.54,9,8,1.22,0.00,0,,,,
45353,2026-07-02T06:33:32Z,92.87,-38.46,-0.00,72.3,48.5,1,26.806826,-80.273784,7.10,0.57,9,8,1.22,0.00,0,,,,
50401,2026-07-02T06:33:37Z,92.91,-38.45,-0.00,72.4,47.8,1,26.806823,-80.273776,6.80,0.57,9,8,1.22,0.00,0,,,,
55403,2026-07-02T06:33:42Z,92.96,-38.36,-0.01,72.4,47.8,1,26.806823,-80.273777,6.60,0.67,9,8,1.22,0.00,0,,,,
60408,2026-07-02T06:33:47Z,93.00,-38.36,-0.00,72.4,48.5,1,26.806823,-80.273784,9.80,0.15,9,8,1.22,0.00,0,,,,
65409,2026-07-02T06:33:52Z,93.03,-38.27,-0.00,72.4,48.2,1,26.806821,-80.273793,12.20,0.24,9,8,1.32,0.00,0,,,,
70412,2026-07-02T06:33:57Z,93.07,-38.26,0.01,72.5,48.3,1,26.806817,-80.273800,13.10,0.39,9,8,1.23,0.00,0,,,,
75412,2026-07-02T06:34:02Z,93.11,-38.22,-0.00,72.5,48.2,1,26.806815,-80.273804,14.00,0.30,9,8,1.22,0.00,0,,,,
5003,2026-07-02T06:34:16Z,93.19,-38.09,0.00,72.6,47.7,1,26.806817,-80.273805,14.30,0.15,10,2,1.19,4.14,98,,,,
10016,2026-07-02T06:34:21Z,93.27,-38.07,0.00,72.6,47.5,1,26.806817,-80.273804,13.90,0.22,10,2,1.19,4.09,98,,,,
15343,2026-07-02T06:34:26Z,93.31,-38.05,-0.01,72.7,48.0,1,26.806818,-80.273803,13.40,0.22,10,1,1.20,0.00,0,,,,
20391,2026-07-02T06:34:31Z,93.34,-37.99,0.00,72.7,47.8,1,26.806818,-80.273803,13.70,0.04,10,7,1.20,0.00,0,,,,
25393,2026-07-02T06:34:36Z,93.39,-37.93,-0.00,72.7,47.8,1,26.806818,-80.273800,13.20,0.59,10,3,1.20,0.00,0,,,,
30395,2026-07-02T06:34:41Z,93.44,-37.86,0.01,72.8,47.9,1,26.806816,-80.273800,13.10,0.20,11,3,1.14,0.00,0,,,,
35397,2026-07-02T06:34:46Z,93.50,-37.79,0.00,72.8,47.6,1,26.806815,-80.273801,13.40,0.20,11,3,1.09,0.00,0,,,,
40399,2026-07-02T06:34:51Z,93.52,-37.82,0.00,72.7,47.7,1,26.806815,-80.273802,12.90,0.35,11,3,1.08,0.00,0,,,,
45399,2026-07-02T06:34:56Z,93.55,-37.78,-0.00,72.8,47.7,1,26.806815,-80.273803,12.00,0.35,11,3,1.21,0.00,0,,,,
50400,2026-07-02T06:35:01Z,93.60,-37.71,-0.00,72.8,47.2,1,26.806817,-80.273803,10.90,0.26,11,3,1.35,0.00,0,,,,
55400,2026-07-02T06:35:06Z,93.64,-37.66,-0.00,72.9,47.3,1,26.806815,-80.273802,11.00,0.20,11,3,1.21,0.00,0,,,,
60400,2026-07-02T06:35:11Z,93.67,-37.66,0.00,72.9,47.7,1,26.806815,-80.273803,11.30,0.11,11,3,1.08,0.00,0,,,,
65400,2026-07-02T06:35:16Z,93.69,-37.63,-0.00,72.8,47.1,1,26.806816,-80.273803,11.00,0.28,11,3,1.21,0.00,0,,,,
70400,2026-07-02T06:35:21Z,93.75,-37.59,0.01,72.8,46.7,1,26.806818,-80.273803,10.30,0.11,12,3,1.19,0.00,0,,,,
75400,2026-07-02T06:35:26Z,93.79,-37.53,0.01,72.9,46.7,1,26.806818,-80.273801,9.70,0.07,12,3,1.06,0.00,0,,,,
80400,2026-07-02T06:35:31Z,93.85,-37.51,0.00,72.9,46.4,1,26.806818,-80.273801,9.40,0.15,12,3,1.11,0.00,0,,,,
85401,2026-07-02T06:35:36Z,93.85,-37.50,0.00,72.9,48.6,1,26.806816,-80.273799,9.70,0.35,12,3,1.11,0.00,0,,,,
90401,2026-07-02T06:35:41Z,93.89,-37.44,0.00,72.8,47.4,1,26.806815,-80.273799,10.20,0.74,12,3,1.11,0.00,0,,,,
95401,2026-07-02T06:35:46Z,93.91,-37.42,-0.00,72.9,46.9,1,26.806817,-80.273797,10.40,0.00,12,3,1.06,0.00,0,,,,
100401,2026-07-02T06:35:51Z,93.93,-37.38,-0.00,72.9,46.8,1,26.806818,-80.273796,10.90,0.52,12,3,1.11,0.00,0,,,,
105401,2026-07-02T06:35:56Z,93.95,-37.39,-0.00,72.9,46.9,1,26.806818,-80.273796,11.00,0.35,12,3,1.11,0.00,0,,,,
110402,2026-07-02T06:36:01Z,93.98,-37.34,0.00,73.0,46.9,1,26.806819,-80.273796,11.10,0.31,12,3,1.11,0.00,0,,,,
115435,2026-07-02T06:36:06Z,93.99,-37.34,-0.01,73.0,46.9,1,26.806818,-80.273797,12.20,0.35,12,8,1.14,0.00,98,,,,
120446,2026-07-02T06:36:11Z,94.03,-37.32,-0.01,73.0,46.5,1,26.806815,-80.273794,14.10,0.09,12,8,1.14,4.09,98,,,,
125458,2026-07-02T06:36:16Z,94.05,-37.29,0.00,73.1,46.4,1,26.806813,-80.273795,16.10,0.26,12,8,1.13,4.09,98,,,,
130471,2026-07-02T06:36:21Z,94.06,-37.28,0.00,73.1,46.5,1,26.806812,-80.273798,17.30,0.19,12,3,1.06,4.09,97,,,,
135474,2026-07-02T06:36:26Z,94.04,-37.30,-0.00,73.1,46.7,1,26.806812,-80.273799,18.20,0.04,12,7,1.06,0.00,0,,,,
140474,2026-07-02T06:36:31Z,94.06,-37.27,-0.01,73.1,46.8,1,26.806812,-80.273800,19.30,0.63,12,8,1.08,0.00,0,,,,
145474,2026-07-02T06:36:36Z,94.08,-37.26,-0.00,73.1,46.4,1,26.806812,-80.273799,20.50,0.13,12,8,1.21,0.00,0,,,,
150525,2026-07-02T06:36:41Z,94.08,-37.23,-0.00,73.1,47.0,1,26.806811,-80.273797,21.10,0.20,12,8,1.21,4.09,97,,,,
155827,2026-07-02T06:36:47Z,94.09,-37.24,0.00,73.1,46.7,1,26.806811,-80.273797,22.80,0.46,12,1,1.31,0.00,0,,,,
5304,2026-07-02T06:36:54Z,94.03,-37.24,0.00,73.2,47.2,1,26.806809,-80.273807,34.30,0.19,12,9,1.20,0.00,0,,,,
5053,2026-07-02T06:37:02Z,94.19,-37.19,0.00,73.2,46.5,1,26.806834,-80.273735,5.30,0.26,9,2,1.40,4.11,98,,,,
10053,2026-07-02T06:37:07Z,94.05,-37.28,0.00,73.2,47.5,1,26.806808,-80.273762,1.90,0.50,11,1,1.14,4.14,98,,,,
15061,2026-07-02T06:37:12Z,94.06,-37.27,-0.00,73.3,47.0,1,26.806817,-80.273772,4.00,0.15,12,9,1.18,4.14,98,,,,
20064,2026-07-02T06:37:17Z,94.06,-37.28,-0.00,73.3,46.8,1,26.806820,-80.273780,4.90,0.19,12,9,1.18,4.13,98,,,,
25070,2026-07-02T06:37:22Z,94.03,-37.31,-0.00,73.4,47.8,1,26.806822,-80.273781,5.40,0.19,12,9,1.06,4.13,98,,,,
30076,2026-07-02T06:37:27Z,94.04,-37.30,0.00,73.3,47.2,1,26.806822,-80.273781,5.90,0.15,12,1,1.06,4.13,98,,,,
35091,2026-07-02T06:37:32Z,94.08,-37.26,0.01,73.4,46.6,1,26.806821,-80.273783,6.70,0.11,12,9,1.06,4.09,98,,,,
40352,2026-07-02T06:37:38Z,94.07,-37.24,-0.00,73.5,46.3,1,26.806821,-80.273783,6.60,0.41,12,9,1.24,0.00,0,,,,
45352,2026-07-02T06:37:43Z,94.07,-37.24,0.01,73.4,45.7,1,26.806817,-80.273788,11.10,0.31,12,1,1.11,4.13,98,,,,
50352,2026-07-02T06:37:48Z,94.05,-37.30,-0.00,73.4,46.6,1,26.806816,-80.273791,13.40,0.30,12,3,1.06,0.00,98,,,,
55352,2026-07-02T06:37:53Z,94.05,-37.30,-0.01,73.5,46.5,1,26.806816,-80.273792,12.90,0.33,12,3,1.06,4.14,98,,,,
60355,2026-07-02T06:37:58Z,94.03,-37.31,-0.01,73.5,46.4,1,26.806818,-80.273794,11.50,0.13,12,3,1.06,0.00,0,,,,
65355,2026-07-02T06:38:03Z,94.03,-37.28,0.01,73.6,46.7,1,26.806817,-80.273794,11.60,0.46,12,3,1.07,4.10,98,,,,
70387,2026-07-02T06:38:08Z,94.03,-37.29,0.00,73.6,46.2,1,26.806817,-80.273794,12.20,0.50,12,2,1.06,0.00,98,,,,
75407,2026-07-02T06:38:13Z,94.03,-37.31,0.00,73.6,46.1,1,26.806815,-80.273796,14.00,0.39,12,1,1.15,0.00,0,,,,
80407,2026-07-02T06:38:18Z,94.00,-37.33,-0.00,73.7,46.1,1,26.806816,-80.273798,14.50,0.35,12,3,1.20,0.00,0,,,,
85408,2026-07-02T06:38:23Z,93.99,-37.36,0.00,73.7,46.1,1,26.806816,-80.273800,15.00,0.11,12,3,1.24,0.00,0,,,,
90410,2026-07-02T06:38:28Z,93.99,-37.34,0.00,73.7,46.1,1,26.806816,-80.273803,15.70,0.09,12,4,1.30,0.00,0,,,,
95412,2026-07-02T06:38:33Z,93.98,-37.35,-0.00,73.8,46.1,1,26.806815,-80.273805,16.70,0.26,12,4,1.20,0.00,0,,,,
100413,2026-07-02T06:38:38Z,93.98,-37.33,0.00,73.8,46.0,1,26.806812,-80.273810,18.90,0.17,12,1,1.09,0.00,0,,,,
105461,2026-07-02T06:38:43Z,93.96,-37.34,0.01,73.9,45.9,1,26.806811,-80.273815,21.60,0.06,12,10,1.07,4.13,98,,,,
110467,2026-07-02T06:38:48Z,93.92,-37.41,-0.00,73.8,45.9,1,26.806809,-80.273820,25.70,0.20,12,2,1.07,4.13,98,,,,
115471,2026-07-02T06:38:53Z,93.96,-37.38,0.00,73.8,45.0,1,26.806807,-80.273824,26.40,0.31,12,4,1.20,4.09,98,,,,
120471,2026-07-02T06:38:58Z,93.97,-37.35,0.02,73.8,44.7,1,26.806811,-80.273831,26.10,0.22,12,2,1.07,4.13,98,,,,
125473,2026-07-02T06:39:03Z,94.05,-37.36,-0.08,73.9,45.4,1,26.806810,-80.273831,25.50,1.39,12,2,1.05,4.10,98,,,,
130477,2026-07-02T06:39:08Z,94.52,-36.91,-0.08,74.0,45.6,1,26.806797,-80.273829,20.20,2.39,12,2,1.10,4.13,98,,,,
