millis,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent
158704,-1.36,-212.49,-0.01,77.4,36.2,1,26.806850,-80.273820,12.20,0.17,12,12,0.58,,
163708,-1.43,-212.57,-0.00,77.4,36.2,1,26.806851,-80.273820,12.20,0.15,12,2,0.59,,
168729,-1.50,-212.65,-0.01,77.4,36.2,1,26.806852,-80.273819,12.20,0.22,12,2,0.59,,
173731,-1.59,-212.75,-0.02,77.4,36.3,1,26.806854,-80.273819,12.20,0.11,12,2,0.56,,
178731,-1.70,-212.84,-0.01,77.4,36.2,1,26.806855,-80.273820,12.20,0.04,12,2,0.54,,
183731,-1.78,-212.92,-0.01,77.4,36.1,1,26.806857,-80.273821,12.10,0.09,12,11,0.55,,
188731,-1.87,-212.99,-0.00,77.5,36.2,1,26.806858,-80.273822,11.80,0.22,12,2,0.57,,
193742,-1.96,-213.08,0.00,77.5,36.2,1,26.806858,-80.273824,11.70,0.19,12,2,0.56,,
198742,-2.02,-213.14,0.00,77.4,36.1,1,26.806858,-80.273826,11.50,0.20,12,2,0.53,,
203755,-2.12,-213.22,0.01,77.5,36.2,1,26.806857,-80.273830,11.20,0.39,12,10,0.56,,
208768,-2.26,-213.40,-0.01,77.5,36.3,1,26.806855,-80.273833,10.80,0.22,12,2,0.56,,
213769,-2.32,-213.46,0.00,77.5,36.3,1,26.806853,-80.273836,10.90,0.67,12,2,0.53,,
218832,-2.42,-213.56,-0.01,77.4,36.2,1,26.806852,-80.273837,10.90,0.24,12,2,0.56,,
223874,-2.52,-213.67,-0.00,77.5,36.2,1,26.806853,-80.273837,10.90,0.46,12,10,0.55,,
228891,-2.60,-213.70,-0.00,77.4,36.1,1,26.806853,-80.273838,11.00,0.30,12,10,0.53,,
233891,-2.66,-213.77,0.01,77.4,36.1,1,26.806853,-80.273838,10.90,0.11,12,2,0.56,,
238892,-2.77,-213.94,-0.02,77.4,36.2,1,26.806852,-80.273838,11.10,0.19,12,10,0.54,,
243914,-2.86,-214.00,-0.00,77.4,36.2,1,26.806852,-80.273839,11.00,0.33,12,12,0.53,,
248914,-2.95,-214.08,-0.01,77.5,36.2,1,26.806853,-80.273839,10.80,0.15,12,12,0.53,,
253938,-3.04,-214.18,-0.02,77.4,36.1,1,26.806855,-80.273838,10.50,0.09,12,2,0.53,,
258938,-3.14,-214.27,-0.01,77.4,36.2,1,26.806855,-80.273838,10.60,0.24,12,2,0.53,,
263949,-3.25,-214.38,-0.01,77.4,36.1,1,26.806855,-80.273838,10.30,0.20,12,2,0.54,,
268949,-3.33,-214.44,0.00,77.4,36.2,1,26.806855,-80.273838,10.80,0.17,12,2,0.56,,
273949,-3.44,-214.54,-0.00,77.4,36.2,1,26.806855,-80.273837,11.30,0.15,12,10,0.56,,
278975,-3.53,-214.65,0.00,77.5,36.2,1,26.806854,-80.273837,11.30,0.07,12,2,0.56,,
283975,-3.63,-214.76,-0.01,77.4,36.1,1,26.806853,-80.273835,11.50,0.15,12,2,0.61,,
289006,-3.74,-214.88,-0.01,77.5,36.0,1,26.806851,-80.273835,11.60,0.19,12,11,0.59,,
294006,-3.81,-214.93,-0.00,77.5,35.9,1,26.806851,-80.273835,11.40,0.28,12,11,0.56,,
299036,-3.88,-215.02,-0.01,77.5,36.0,1,26.806850,-80.273834,11.40,0.09,12,2,0.55,,
304049,-3.97,-215.12,-0.00,77.5,36.0,1,26.806850,-80.273833,11.60,0.04,12,2,0.59,,
309049,-4.09,-215.21,-0.01,77.5,36.0,1,26.806851,-80.273831,11.70,0.30,12,2,0.59,,
314069,-4.19,-215.35,-0.02,77.5,36.0,1,26.806852,-80.273829,11.80,0.35,12,2,0.55,,
319111,-4.27,-215.42,-0.01,77.5,36.1,1,26.806852,-80.273827,11.70,0.20,12,2,0.58,,
324129,-4.33,-215.41,0.01,77.4,36.0,1,26.806853,-80.273827,11.50,0.26,12,3,0.67,,
329129,-4.47,-215.60,-0.01,77.4,36.1,1,26.806851,-80.273825,11.10,0.28,12,10,0.59,,
334169,-4.56,-215.70,-0.01,77.4,36.0,1,26.806852,-80.273823,11.30,0.11,12,2,0.59,,
339204,-4.60,-215.77,-0.02,77.3,36.1,1,26.806851,-80.273821,11.40,0.06,12,11,0.58,,
344215,-4.69,-215.82,-0.00,77.4,36.2,1,26.806850,-80.273820,11.50,0.28,12,10,0.56,,
5049,6971.17,-216.49,0.00,77.2,36.2,1,26.806837,-80.273815,9.90,0.22,12,10,0.58,,
10090,-0.06,-216.56,-0.01,77.2,36.2,1,26.806836,-80.273816,10.00,0.26,12,10,0.56,,
15110,-0.10,-216.61,-0.01,77.2,36.2,1,26.806839,-80.273815,10.60,0.13,12,2,0.54,,
20153,-0.16,-216.69,-0.02,77.3,36.2,1,26.806840,-80.273815,10.50,0.44,12,2,0.61,,
25156,-0.22,-216.73,-0.01,77.2,36.2,1,26.806840,-80.273815,10.30,0.26,12,2,0.61,,
30189,-0.23,-216.74,0.01,77.2,36.2,1,26.806839,-80.273815,10.00,0.26,12,10,0.55,,
35189,-0.32,-216.85,-0.01,77.2,36.1,1,26.806837,-80.273816,9.80,0.19,12,2,0.61,,
40233,-0.36,-216.89,-0.01,77.3,36.1,1,26.806834,-80.273817,9.70,0.52,12,2,0.58,,
45233,-0.40,-216.90,-0.01,77.2,36.1,1,26.806830,-80.273817,9.80,0.33,12,2,0.71,,
50234,-0.46,-216.97,-0.01,77.1,36.1,1,26.806826,-80.273818,10.00,0.43,12,10,0.60,,
55234,-0.50,-217.00,-0.01,77.2,36.1,1,26.806823,-80.273820,10.10,1.00,12,2,0.60,,
60234,-0.51,-216.99,0.01,77.2,36.1,1,26.806823,-80.273821,10.50,0.13,12,10,0.59,,
65234,-0.56,-217.08,-0.01,77.2,36.1,1,26.806821,-80.273821,10.20,0.33,12,2,0.54,,
70234,-0.61,-217.10,-0.00,77.1,36.1,1,26.806816,-80.273819,9.80,0.24,12,2,0.57,,
75236,-0.61,-217.10,0.01,77.2,36.1,1,26.806815,-80.273815,9.20,0.28,12,10,0.54,,
80263,-0.63,-217.10,0.01,77.1,36.2,1,26.806815,-80.273814,8.60,0.17,12,10,0.61,,
85271,-0.69,-217.18,0.00,77.2,36.1,1,26.806814,-80.273814,8.00,0.28,12,2,0.59,,
90316,-0.68,-217.17,0.01,77.2,36.1,1,26.806812,-80.273813,7.30,0.20,12,3,0.70,,
95326,-0.71,-217.20,0.01,77.2,36.1,1,26.806808,-80.273813,6.40,0.22,12,2,0.58,,
